==3287== NVPROF is profiling process 3287, command: python index.py
==3287== Profiling application: python index.py
==3287== Profiling result:
   Start  Duration  Name
4.96533s  6.6000us  cudaStreamSynchronize
4.96534s     421ns  cudaSetDevice
4.96535s     487ns  cudaGetDevice
4.96535s     257ns  cudaGetDevice
4.96535s     257ns  cudaGetDevice
4.96535s     262ns  cudaGetDevice
4.96535s     250ns  cudaGetDevice
4.96536s     251ns  cudaGetDevice
4.96536s     250ns  cudaGetDevice
4.96536s     424ns  cudaSetDevice
4.96536s     278ns  cudaSetDevice
4.96537s     430ns  cudaGetDevice
4.96537s     246ns  cudaGetDevice
4.96537s  5.2530us  cudaMemcpyAsync
4.96537s  6.0840us  cudaStreamSynchronize
4.96538s     404ns  cudaSetDevice
4.96539s     534ns  cudaGetDevice
4.96539s     257ns  cudaGetDevice
4.96539s     260ns  cudaGetDevice
4.96539s     262ns  cudaGetDevice
4.96539s     253ns  cudaGetDevice
4.96540s     253ns  cudaGetDevice
4.96540s     249ns  cudaGetDevice
4.96540s     412ns  cudaSetDevice
4.96540s     280ns  cudaSetDevice
4.96541s     399ns  cudaGetDevice
4.96541s     246ns  cudaGetDevice
4.96542s  4.7810us  cudaMemcpyAsync
4.96542s  6.1980us  cudaStreamSynchronize
4.96543s     404ns  cudaSetDevice
4.96548s     564ns  cudaGetDevice
4.96548s     271ns  cudaGetDevice
4.96548s     258ns  cudaGetDevice
4.96548s     269ns  cudaGetDevice
4.96549s     255ns  cudaGetDevice
4.96549s     245ns  cudaGetDevice
4.96549s     256ns  cudaGetDevice
4.96549s     421ns  cudaSetDevice
4.96549s     272ns  cudaSetDevice
4.96550s     357ns  cudaGetDevice
4.96550s     248ns  cudaGetDevice
4.96550s  126.16us  cudaMemcpyAsync
4.96563s  16.485us  cudaStreamSynchronize
4.96564s     551ns  cudaSetDevice
4.96569s     664ns  cudaGetDevice
4.96569s     268ns  cudaGetDevice
4.96569s     258ns  cudaGetDevice
4.96569s     270ns  cudaGetDevice
4.96569s     254ns  cudaGetDevice
4.96569s     246ns  cudaGetDevice
4.96569s     252ns  cudaGetDevice
4.96570s     533ns  cudaSetDevice
4.96570s     278ns  cudaSetDevice
4.96571s     421ns  cudaGetDevice
4.96571s     243ns  cudaGetDevice
4.96571s  7.2500us  cudaMemcpyAsync
4.96572s  6.2280us  cudaStreamSynchronize
4.96572s     385ns  cudaSetDevice
4.96573s     467ns  cudaGetDevice
4.96574s     274ns  cudaGetDevice
4.96574s     254ns  cudaGetDevice
4.96574s     274ns  cudaGetDevice
4.96574s     251ns  cudaGetDevice
4.96574s     254ns  cudaGetDevice
4.96574s     249ns  cudaGetDevice
4.96574s     401ns  cudaSetDevice
4.96574s     277ns  cudaSetDevice
4.96574s     288ns  cudaGetDevice
4.96574s     247ns  cudaGetDevice
4.96574s  4.8690us  cudaMemcpyAsync
4.96575s  6.1210us  cudaStreamSynchronize
4.96576s     367ns  cudaSetDevice
4.96579s     627ns  cudaGetDevice
4.96579s     272ns  cudaGetDevice
4.96579s     260ns  cudaGetDevice
4.96579s     268ns  cudaGetDevice
4.96579s     254ns  cudaGetDevice
4.96579s     256ns  cudaGetDevice
4.96579s     251ns  cudaGetDevice
4.96579s     519ns  cudaSetDevice
4.96579s  2.3920us  cudaSetDevice
4.96581s     402ns  cudaGetDevice
4.96581s     247ns  cudaGetDevice
4.96581s  12.851us  cudaMemcpyAsync
4.96582s  5.8270us  cudaStreamSynchronize
4.96583s     497ns  cudaSetDevice
4.96584s     508ns  cudaGetDevice
4.96584s     258ns  cudaGetDevice
4.96584s     256ns  cudaGetDevice
4.96584s     265ns  cudaGetDevice
4.96584s     249ns  cudaGetDevice
4.96584s     250ns  cudaGetDevice
4.96584s     244ns  cudaGetDevice
4.96584s     421ns  cudaSetDevice
4.96584s     273ns  cudaSetDevice
4.96585s     455ns  cudaGetDevice
4.96585s     244ns  cudaGetDevice
4.96586s  12.248us  cudaMemcpyAsync
4.96587s  5.8670us  cudaStreamSynchronize
4.96587s     422ns  cudaSetDevice
4.96589s     482ns  cudaGetDevice
4.96589s     271ns  cudaGetDevice
4.96589s     252ns  cudaGetDevice
4.96589s     267ns  cudaGetDevice
4.96589s     252ns  cudaGetDevice
4.96589s     244ns  cudaGetDevice
4.96589s     250ns  cudaGetDevice
4.96589s     444ns  cudaSetDevice
4.96589s     275ns  cudaSetDevice
4.96590s     397ns  cudaGetDevice
4.96590s     252ns  cudaGetDevice
4.96590s  12.091us  cudaMemcpyAsync
4.96592s  5.7820us  cudaStreamSynchronize
4.96592s     414ns  cudaSetDevice
4.96594s     506ns  cudaGetDevice
4.96594s     269ns  cudaGetDevice
4.96594s     252ns  cudaGetDevice
4.96594s     265ns  cudaGetDevice
4.96594s     253ns  cudaGetDevice
4.96594s     251ns  cudaGetDevice
4.96594s     251ns  cudaGetDevice
4.96595s     460ns  cudaSetDevice
4.96595s     274ns  cudaSetDevice
4.96595s     284ns  cudaGetDevice
4.96595s     245ns  cudaGetDevice
4.96595s  270.69us  cudaMemcpyAsync
4.96622s  23.955us  cudaStreamSynchronize
4.96624s     466ns  cudaSetDevice
4.96630s     801ns  cudaGetDevice
4.96630s     266ns  cudaGetDevice
4.96631s     255ns  cudaGetDevice
4.96631s     266ns  cudaGetDevice
4.96631s     253ns  cudaGetDevice
4.96631s     250ns  cudaGetDevice
4.96631s     251ns  cudaGetDevice
4.96631s     535ns  cudaSetDevice
4.96631s     275ns  cudaSetDevice
4.96632s     466ns  cudaGetDevice
4.96632s     249ns  cudaGetDevice
4.96632s  16.060us  cudaMemcpyAsync
4.96634s  6.3750us  cudaStreamSynchronize
4.96635s     416ns  cudaSetDevice
4.96637s     633ns  cudaGetDevice
4.96637s     261ns  cudaGetDevice
4.96637s     264ns  cudaGetDevice
4.96638s     269ns  cudaGetDevice
4.96638s     253ns  cudaGetDevice
4.96638s     246ns  cudaGetDevice
4.96638s     243ns  cudaGetDevice
4.96638s     510ns  cudaSetDevice
4.96638s     269ns  cudaSetDevice
4.96639s     448ns  cudaGetDevice
4.96639s     245ns  cudaGetDevice
4.96639s  5.8420us  cudaMemcpyAsync
4.96640s  6.2910us  cudaStreamSynchronize
